# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1280.32
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:phi_prime             11:H_T_Nb_prime          12:k2gamma_Nb            13:t_g                   14:t_b                   15:t_cdm                 16:t_ur                  17:shear_g               18:pol0_g                19:pol2_g                20:t_tot              
       1.042057218184e-05      -1.417701159916e+00      -1.063275869937e+00      -1.063275869938e+00      -1.417701159916e+00      -1.063275869937e+00      -1.160145392205e+00       6.455748537443e-01       6.008637668455e-01      -1.099378752380e-04       8.134389242666e-09      -4.077601205202e-11       3.347077202598e-09       3.347077294636e-09       3.347083583831e-09       3.347073256939e-09       2.873049231340e-09       6.453655513065e-09       1.290731102685e-09       3.347080255912e-09 
       1.311872312515e-05      -1.417688812781e+00      -1.063266609586e+00      -1.063266609585e+00      -1.417688812782e+00      -1.063266609585e+00      -1.160135288189e+00       6.455780245916e-01       6.008667349487e-01      -1.099376191024e-04      -1.783167316473e-08       9.781873471351e-11       5.304799525230e-09       5.304799237217e-09       5.304785444027e-09       5.304804718511e-09       4.553509337290e-09       1.022842821810e-08       2.045685643801e-09       5.304792299080e-09 
       1.651549391254e-05      -1.417688451659e+00      -1.063266338744e+00      -1.063266338743e+00      -1.417688451659e+00      -1.063266338743e+00      -1.160134992672e+00       6.455782481034e-01       6.008669545987e-01      -1.099374797890e-04      -1.886705983130e-08       1.053626021943e-10       8.407545227996e-09       8.407544741671e-09       8.407521245865e-09       8.407552947753e-09       7.216829823159e-09       1.621097489234e-08       3.242194978926e-09       8.407532767752e-09 
       2.079177497483e-05      -1.417695254994e+00      -1.063271441246e+00      -1.063271441244e+00      -1.417695254995e+00      -1.063271441244e+00      -1.160140560041e+00       6.455767584262e-01       6.008654919665e-01      -1.099322755643e-04      -7.929170047946e-09       5.081125782109e-11       1.332504432989e-08       1.332504394753e-08       1.332501867171e-08       1.332504853540e-08       1.143789201666e-08       2.569263812639e-08       5.138527626425e-09       1.332503045977e-08 
       2.617529387212e-05      -1.417689941165e+00      -1.063267455874e+00      -1.063267455871e+00      -1.417689941165e+00      -1.063267455872e+00      -1.160136211573e+00       6.455784215442e-01       6.008671980052e-01      -1.099470270387e-04      -1.085751169537e-08       7.149251079924e-11       2.111873718026e-08       2.111873640447e-08       2.111869024265e-08       2.111873611077e-08       1.812780248855e-08       4.072000342231e-08       8.144000687346e-09       2.111871060277e-08 
       3.295274261680e-05      -1.417688187213e+00      -1.063266140410e+00      -1.063266140406e+00      -1.417688187210e+00      -1.063266140407e+00      -1.160134776260e+00       6.455793904336e-01       6.008682095325e-01      -1.099548416957e-04      -1.071879342443e-08       7.899795806829e-11       3.347091844651e-08       3.347091719205e-08       3.347084460609e-08       3.347089571941e-08       2.873060604186e-08       6.453679644890e-08       1.290735929702e-08       3.347087375915e-08 
       4.148504506860e-05      -1.417697965486e+00      -1.063273474115e+00      -1.063273474112e+00      -1.417697965477e+00      -1.063273474113e+00      -1.160142778113e+00       6.455777864959e-01       6.008666330602e-01      -1.099389424205e-04      -8.896368868712e-10       4.008654556847e-11       5.304794004412e-08       5.304793931685e-08       5.304787647681e-08       5.304784116024e-08       4.553504775406e-08       1.022841959419e-07       2.045683920658e-08       5.304789078152e-08 
       5.222657744628e-05      -1.417709192654e+00      -1.063281894491e+00      -1.063281894495e+00      -1.417709192627e+00      -1.063281894495e+00      -1.160151965640e+00       6.455763120117e-01       6.008652355414e-01      -1.099290970324e-04       1.486765900989e-08      -2.253107895932e-11       8.407533019761e-08       8.407533232184e-08       8.407536916824e-08       8.407500794584e-08       7.216821947590e-08       1.621096098911e-07       3.242192202391e-08       8.407530830090e-08 
       6.574936551816e-05      -1.417722926910e+00      -1.063292195183e+00      -1.063292195217e+00      -1.417722926827e+00      -1.063292195211e+00      -1.160163204793e+00       6.455749900037e-01       6.008641149753e-01      -1.099318197964e-04       4.216464585109e-08      -1.340577854840e-10       1.332498693468e-07       1.332498824153e-07       1.332503599229e-07       1.332488463895e-07       1.143785491894e-07       2.569251644885e-07       5.138503301249e-08       1.332500064561e-07 
       8.277354706016e-05      -1.417750706063e+00      -1.063313029549e+00      -1.063313029686e+00      -1.417750705831e+00      -1.063313029665e+00      -1.160185937332e+00       6.455713917760e-01       6.008609066828e-01      -1.099313829779e-04       9.506235488806e-08      -3.617586179353e-10       2.111851218627e-07       2.111851724778e-07       2.111872105529e-07       2.111821366725e-07       1.812764343187e-07       4.071957580895e-07       8.143915190621e-08       2.111858921656e-07 
