# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1279.82
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:phi_prime             11:H_T_Nb_prime          12:k2gamma_Nb            13:t_g                   14:t_b                   15:t_cdm                 16:t_ur                  17:shear_g               18:pol0_g                19:pol2_g                20:t_tot              
       4.148504506860e-04      -1.418917720192e+00      -1.064188290937e+00      -1.064188388169e+00      -1.418917568817e+00      -1.064188372896e+00      -1.161113623792e+00       6.454984468036e-01       6.008100018173e-01      -1.102811926942e-04       2.383501723132e-06      -9.062559802425e-09       5.304525849312e-06       5.304558393798e-06       5.305959667859e-06       5.302578129021e-06       4.571984588307e-06       1.023685495875e-05       2.047371179966e-06       5.305068441218e-06 
       5.222657744628e-04      -1.419609425583e+00      -1.064707071178e+00      -1.064707315213e+00      -1.419609045461e+00      -1.064707276879e+00      -1.161679718394e+00       6.454587674251e-01       6.007816880708e-01      -1.105183973732e-04       3.774745276040e-06      -1.434954788360e-08       8.405544514352e-06       8.405626190590e-06       8.409142649586e-06       8.400654091063e-06       7.244804389243e-06       1.622145394116e-05       3.244291260928e-06       8.406905773660e-06 
       6.574936551816e-04      -1.420704351342e+00      -1.065528268504e+00      -1.065528881143e+00      -1.420703396799e+00      -1.065528784907e+00      -1.162575870781e+00       6.453961626934e-01       6.007371012950e-01      -1.108969034525e-04       5.978191650466e-06      -2.272294871443e-08       1.331796166111e-05       1.331816663831e-05       1.332699298399e-05       1.330568315422e-05       1.147896405839e-05       2.570205929385e-05       5.140413045806e-06       1.332137793699e-05 
       8.277354706016e-04      -1.422440747255e+00      -1.066830572991e+00      -1.066832111394e+00      -1.422438350320e+00      -1.066831869737e+00      -1.163997192198e+00       6.452965376533e-01       6.006660267799e-01      -1.114948174261e-04       9.471021622896e-06      -3.600249413885e-08       2.109767437925e-05       2.109818912674e-05       2.112035302919e-05       2.106684622294e-05       1.818469727457e-05       4.071689608096e-05       8.143382196593e-06       2.110625364703e-05 
       1.042057218184e-03      -1.425190182911e+00      -1.068892668659e+00      -1.068896531800e+00      -1.425184164808e+00      -1.068895924966e+00      -1.166248115945e+00       6.451389344168e-01       6.005536464579e-01      -1.124421962303e-04       1.500008031789e-05      -5.702730514431e-08       3.341278345693e-05       3.341407552966e-05       3.346972561127e-05       3.333539912737e-05       2.880013849305e-05       6.448644296404e-05       1.289729607410e-05       3.343432717676e-05 
       1.311872312515e-03      -1.429544815430e+00      -1.072158690620e+00      -1.072168392107e+00      -1.429529708401e+00      -1.072166868169e+00      -1.169814150638e+00       6.448890034739e-01       6.003753462250e-01      -1.139425355744e-04       2.375332074936e-05      -9.033207298368e-08       5.289345063868e-05       5.289669480498e-05       5.303643307929e-05       5.269925941940e-05       4.559323429030e-05       1.020898396359e-04       2.041798669888e-05       5.294756377772e-05 
       1.651549391254e-03      -1.435290544940e+00      -1.076468113932e+00      -1.076492920917e+00      -1.435252413406e+00      -1.076489024162e+00      -1.174522708838e+00       6.447671727621e-01       6.005204465779e-01      -1.210773709741e-04       3.758710049010e-05      -1.431876192200e-07       8.360501677734e-05       8.361318760193e-05       8.396487971268e-05       8.311902956604e-05       7.206495275163e-05       1.613621040755e-04       3.227246783943e-05       8.374158779239e-05 
       2.079177497483e-03      -1.445929599462e+00      -1.084447722941e+00      -1.084510464777e+00      -1.445833835665e+00      -1.084500609103e+00      -1.183245784049e+00       6.441887037096e-01       6.001946492573e-01      -1.260535976555e-04       5.943304452807e-05      -2.267072619952e-07       1.320866001125e-04       1.321071299770e-04       1.329905530058e-04       1.308705613462e-04       1.138632469349e-04       2.549629773964e-04       5.099271324703e-05       1.324303040622e-04 
       2.617529387212e-03      -1.463115465554e+00      -1.097337921012e+00      -1.097495810424e+00      -1.462875541620e+00      -1.097471008686e+00      -1.197351912869e+00       6.431803974698e-01       5.995025672210e-01      -1.321409835507e-04       9.386710206157e-05      -3.585696373417e-07       2.083525406221e-04       2.084040427696e-04       2.106207352141e-04       2.053123453009e-04       1.796339742740e-04       4.022669211978e-04       8.045367876041e-05       2.092164727973e-04 
       3.295274261680e-03      -1.490260413157e+00      -1.117698633063e+00      -1.118095074039e+00      -1.489660476723e+00      -1.118032799912e+00      -1.219672269387e+00       6.415730873755e-01       5.983603846911e-01      -1.413383735335e-04       1.479649397157e-04      -5.663650237943e-07       3.277516975481e-04       3.278807005878e-04       3.334375876603e-04       3.201664276913e-04       2.826446380193e-04       6.330230618334e-04       1.266053470606e-04       3.299222800526e-04 
       4.148504506860e-03      -1.532893887424e+00      -1.149678740838e+00      -1.150672722788e+00      -1.531397686994e+00      -1.150516585148e+00      -1.254829238858e+00       6.390373998248e-01       5.965424300179e-01      -1.556957753845e-04       2.325164286602e-04      -8.927771960212e-07       5.132917092493e-04       5.136142073567e-04       5.275266433201e-04       4.944347771061e-04       4.428230768045e-04       9.919594827134e-04       1.983937217703e-04       5.187440138712e-04 
       5.222657744628e-03      -1.599478953068e+00      -1.199630013210e+00      -1.202118401115e+00      -1.595762963884e+00      -1.201727517744e+00      -1.309993044142e+00       6.350489956014e-01       5.936708814834e-01      -1.780823646514e-04       3.635662599649e-04      -1.402812225608e-06       7.981571967197e-04       7.989610868424e-04       8.337249330085e-04       7.515573640216e-04       6.890138565473e-04                     -nan                     -nan       8.118507607987e-04 
       6.574936551816e-03      -1.702595012271e+00      -1.276997692401e+00      -1.283214196103e+00      -1.693426643746e+00      -1.282237689218e+00      -1.396071014199e+00       6.287934272319e-01       5.890710509107e-01      -2.121970043531e-04       5.641602810744e-04      -2.192506748388e-06       1.226914901341e-03       1.228899301028e-03       1.315510801292e-03       1.112858856319e-03       1.114295009541e-03                     -nan                     -nan       1.261298110233e-03 
       8.277354706016e-03      -1.859986724436e+00      -1.395116763753e+00      -1.410595916972e+00      -1.837603860368e+00      -1.408164405559e+00      -1.529119174220e+00       6.190576457109e-01       5.819833802185e-01      -2.647605968475e-04       8.641997249535e-04      -3.400085972920e-06       1.850707825054e-03       1.855595879998e-03       2.070307776975e-03       1.575834803293e-03       1.684900866974e-03                     -nan                     -nan       1.936998630926e-03 
       1.042057218184e-02      -2.094709286984e+00      -1.571341666862e+00      -1.609686147484e+00      -2.040983632630e+00      -1.603662882456e+00      -1.731834303163e+00       6.040525079577e-01       5.709492953784e-01      -3.427619263684e-04       1.297440308265e-03      -5.205279914245e-06       2.704807725902e-03       2.716708414227e-03       3.244844336923e-03       2.058742021556e-03       2.465725246946e-03                     -nan                     -nan       2.921081219581e-03 
       1.311872312515e-02      -2.431249928381e+00      -1.824183971304e+00      -1.918395822967e+00      -2.305764405816e+00      -1.903596745181e+00      -2.033755235462e+00       5.812917402097e-01       5.539363105004e-01      -4.537355476294e-04       1.886239170899e-03      -7.805712149556e-06       3.741525208786e-03       3.769961367618e-03       5.053000058874e-03       2.284168044347e-03       3.423041009139e-03                     -nan                     -nan       4.281929928580e-03 
       1.651549391252e-02      -2.881278105175e+00      -2.162715937444e+00      -2.391208288551e+00      -2.600930320879e+00      -2.355316030647e+00      -2.467715042678e+00       5.476275920959e-01       5.281350499191e-01      -6.008435928472e-04       2.604038514566e-03      -1.131993891150e-05       4.668031374752e-03       4.733877724369e-03       7.789557871396e-03       1.600491449455e-03       4.301985050291e-03       8.879999243418e-03       1.776428141556e-03       6.008856928394e-03 
       2.079177481046e-02      -3.406581404325e+00      -2.558915017266e+00      -3.101770331973e+00      -2.824827027057e+00      -3.016497005031e+00      -3.058103839235e+00       4.997670960907e-01       4.900391002355e-01      -7.724921908920e-04       3.305541159887e-03      -1.553908325712e-05       4.627761813916e-03       4.773036835173e-03       1.182089703837e-02      -1.085269625785e-03       4.342489205197e-03                     -nan                     -nan       7.901886545410e-03 
       2.617516848900e-02      -3.844153872977e+00      -2.891554802231e+00      -4.139640028010e+00      -2.781155051770e+00      -3.943587089729e+00      -3.797688646400e+00       4.357691489440e-01       4.362045448154e-01      -9.258721200289e-04       3.653035335807e-03      -1.944685640831e-05       1.787964906571e-03       2.081832827974e-03       1.751198106714e-02      -6.570789195881e-03       1.890595438544e-03                     -nan                     -nan       9.506331687283e-03 
       3.293535889135e-02      -3.807528341672e+00      -2.871618612179e+00      -5.590408168578e+00      -2.277069411151e+00      -5.163332621099e+00      -4.621938498149e+00       3.579872090958e-01       3.656362011029e-01      -9.771086818334e-04       3.186147338691e-03      -2.065711474895e-05      -6.436568216110e-03      -5.927980149086e-03       2.501284411827e-02      -1.267304207614e-02      -5.469362417181e-03                     -nan                     -nan       1.042319981239e-02 
       4.090566609173e-02      -2.811685645277e+00      -2.132931057551e+00      -7.389113105255e+00      -1.504501324155e+00      -6.563456400642e+00      -5.392337314229e+00       2.798610041613e-01       2.882528856954e-01      -8.505158608726e-04       1.856328997704e-03      -1.626952998653e-05      -1.938447782194e-02      -1.874546239119e-02       3.345956906510e-02      -1.224959753528e-02      -1.742955639338e-02                     -nan                     -nan       1.132622040750e-02 
       4.763320238858e-02      -1.392743776480e+00      -1.070822670283e+00      -8.897613980774e+00      -1.091990599804e+00      -7.668158329796e+00      -5.919895013390e+00       2.289260333442e-01       2.343191579166e-01      -6.537063487223e-04       6.726595624746e-04      -9.182619746923e-06      -2.709261316736e-02      -2.659656059107e-02       3.975244470974e-02      -6.182509566395e-03      -2.505981971764e-02                     -nan                     -nan       1.334422864290e-02 
       5.251082063174e-02      -2.813981090788e-01      -2.342845892235e-01      -9.956899425775e+00      -9.733527268558e-01      -8.429642178344e+00      -6.280526296306e+00       2.003880358349e-01       2.033425132484e-01      -4.975195149437e-04      -3.927424423828e-05      -3.538727802555e-06      -2.748838459124e-02      -2.726871114029e-02       4.375473556622e-02      -2.043771481489e-03      -2.612323646318e-02                     -nan                     -nan       1.600776307443e-02 
       5.653184608250e-02       5.364638249527e-01       3.847170798998e-01      -1.080011754633e+01      -9.380618916112e-01      -9.043170466616e+00      -6.590349843300e+00       1.815549115768e-01       1.829485850363e-01      -3.733284222384e-04      -5.122121137249e-04       6.591199172737e-07      -2.342605809463e-02      -2.351659895738e-02       4.673074425982e-02      -5.287196754761e-04      -2.308696319992e-02                     -nan                     -nan       1.908005693957e-02 
       6.012144609349e-02       1.106466879531e+00       8.192555310478e-01      -1.152746588942e+01      -9.103267096182e-01      -9.588006177354e+00      -6.891135986938e+00       1.678618774909e-01       1.683494205210e-01      -2.704435919693e-04      -8.460035292480e-04       3.661134702661e-06      -1.633488182574e-02      -1.672549243502e-02       4.918382137664e-02      -9.175869122206e-04      -1.719713832588e-02      -4.065463846176e-02      -8.161001522423e-03       2.251481810646e-02 
       6.346902601001e-02       1.452108791663e+00       1.086205330735e+00      -1.218363600312e+01      -8.625532954689e-01      -1.009916987028e+01      -7.201458129266e+00       1.573911957203e-01       1.574268462644e-01      -1.832759016670e-04      -1.074365731726e-03       5.612429790958e-06      -7.112440382398e-03      -7.761653956850e-03       5.133881372419e-02      -2.376068902034e-03      -9.225495388890e-03                     -nan                     -nan       2.628427951593e-02 
