# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1280.82
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:phi_prime             11:H_T_Nb_prime          12:k2gamma_Nb            13:t_g                   14:t_b                   15:t_cdm                 16:t_ur                  17:shear_g               18:pol0_g                19:pol2_g                20:t_tot              
       1.042057218184e-05      -1.417668868012e+00      -1.063251651009e+00      -1.063251651010e+00      -1.417668868012e+00      -1.063251651010e+00      -1.160146295312e+00       6.455829266384e-01       6.008685832947e-01      -1.099881739443e-04       8.135203835880e-09      -4.079078844691e-11       3.346173837266e-09       3.346173929135e-09       3.346180216565e-09       3.346169894246e-09       2.860432203483e-09       6.446568599594e-09       1.289313719989e-09       3.346176889232e-09 
       1.311872312515e-05      -1.417656520760e+00      -1.063242390570e+00      -1.063242390570e+00      -1.417656520761e+00      -1.063242390570e+00      -1.160136190962e+00       6.455860974671e-01       6.008715515129e-01      -1.099879233197e-04      -1.784098413868e-08       9.789153860297e-11       5.303367762970e-09       5.303367477597e-09       5.303353692151e-09       5.303372950344e-09       4.533512532295e-09       1.021719612549e-08       2.043439225272e-09       5.303360543330e-09 
       1.651549391254e-05      -1.417656159375e+00      -1.063242119531e+00      -1.063242119530e+00      -1.417656159375e+00      -1.063242119530e+00      -1.160135895223e+00       6.455863209686e-01       6.008717711625e-01      -1.099877840694e-04      -1.887733082202e-08       1.054419871217e-10       8.405276035623e-09       8.405275553989e-09       8.405252071170e-09       8.405283746258e-09       7.185137004965e-09       1.619317321511e-08       3.238634643463e-09       8.405263586571e-09 
       2.079177497483e-05      -1.417662963759e+00      -1.063247222819e+00      -1.063247222817e+00      -1.417662963759e+00      -1.063247222818e+00      -1.160141463581e+00       6.455848309091e-01       6.008703081048e-01      -1.099825707386e-04      -7.936232005168e-09       5.085961562539e-11       1.332144793922e-08       1.332144756004e-08       1.332142229179e-08       1.332145214203e-08       1.138766238139e-08       2.566442442350e-08       5.132884885807e-09       1.332143407712e-08 
       2.617529387212e-05      -1.417657644833e+00      -1.063243233625e+00      -1.063243233622e+00      -1.417657644832e+00      -1.063243233622e+00      -1.160137110840e+00       6.455864951106e-01       6.008720151985e-01      -1.099973415777e-04      -1.086710800222e-08       7.155847747763e-11       2.111303721914e-08       2.111303645373e-08       2.111299030914e-08       2.111303614738e-08       1.804819393156e-08       4.067528775654e-08       8.135057554088e-09       2.111301066131e-08 
       3.295274261680e-05      -1.417655887374e+00      -1.063241915531e+00      -1.063241915527e+00      -1.417655887372e+00      -1.063241915528e+00      -1.160135672623e+00       6.455874645743e-01       6.008730272859e-01      -1.100051661390e-04      -1.073061047571e-08       7.907608826099e-11       3.346188456467e-08       3.346188333140e-08       3.346181077392e-08       3.346186184862e-08       2.860443501083e-08       6.446592689815e-08       1.289318538661e-08       3.346183991351e-08 
       4.148504506860e-05      -1.417665668404e+00      -1.063249251303e+00      -1.063249251301e+00      -1.417665668394e+00      -1.063249251301e+00      -1.160143676921e+00       6.455858594685e-01       6.008714496761e-01      -1.099892444030e-04      -9.013571507272e-10       4.015226926484e-11       5.303362251045e-08       5.303362180466e-08       5.303355897253e-08       5.303352371264e-08       4.533507991935e-08       1.021718752569e-07       2.043437506892e-08       5.303357327949e-08 
       5.222657744628e-05      -1.417676895429e+00      -1.063257671572e+00      -1.063257671576e+00      -1.417676895401e+00      -1.063257671575e+00      -1.160152864547e+00       6.455843842610e-01       6.008700514097e-01      -1.099793830145e-04       1.485615871020e-08      -2.248560429217e-11       8.405263874630e-08       8.405264087816e-08       8.405267764048e-08       8.405231680584e-08       7.185129219655e-08       1.619315936135e-07       3.238631876677e-08       8.405261683575e-08 
       6.574936551816e-05      -1.417690624074e+00      -1.063267968056e+00      -1.063267968090e+00      -1.417690623992e+00      -1.063267968084e+00      -1.160164099374e+00       6.455830624524e-01       6.008689307152e-01      -1.099820957173e-04       4.215436678024e-08      -1.340520540328e-10       1.332139062570e-07       1.332139192996e-07       1.332143963931e-07       1.332128842683e-07       1.138762709043e-07       2.566430019433e-07       5.132860049935e-08       1.332140431769e-07 
       8.277354706016e-05      -1.417718395735e+00      -1.063288796802e+00      -1.063288796940e+00      -1.417718395503e+00      -1.063288796918e+00      -1.160186826317e+00       6.455794641910e-01       6.008657222403e-01      -1.099816141986e-04       9.505763741972e-08      -3.618476442322e-10       2.111281258460e-07       2.111281762435e-07       2.111302127943e-07       2.111251435178e-07       1.804803788772e-07       4.067485735992e-07       8.134971499789e-08       2.111288952811e-07 
       1.042057218184e-04      -1.417756218456e+00      -1.063317163845e+00      -1.063317164231e+00      -1.417756217855e+00      -1.063317164170e+00      -1.160217778596e+00       6.455753094031e-01       6.008620601483e-01      -1.099807526914e-04       1.660264569180e-07      -6.547787310876e-10       3.346123791748e-07       3.346125212105e-07       3.346184547206e-07       3.346045143262e-07       2.860395615075e-07       6.446474347938e-07       1.289294876572e-07       3.346147302913e-07 
       1.311872312515e-04      -1.417795617958e+00      -1.063346713477e+00      -1.063346714452e+00      -1.417795616452e+00      -1.063346714299e+00      -1.160250021377e+00       6.455738607820e-01       6.008613567129e-01      -1.100035146302e-04       2.495369010058e-07      -9.658502106034e-10       5.303184080650e-07       5.303187459118e-07       5.303331050281e-07       5.302989054652e-07       4.533369636441e-07       1.021684719400e-06       2.043369456343e-07       5.303240297268e-07 
       1.651549391254e-04      -1.417860980838e+00      -1.063395735648e+00      -1.063395738120e+00      -1.417860977037e+00      -1.063395737732e+00      -1.160303511652e+00       6.455708349409e-01       6.008594829878e-01      -1.100361818286e-04       3.861266522488e-07      -1.481268828278e-09       8.404812897650e-07       8.404821206736e-07       8.405180057990e-07       8.404321785932e-07       7.184766102850e-07       1.619229982729e-06       3.238460009527e-07       8.404952792522e-07 
       2.079177497483e-04      -1.417968596353e+00      -1.063476447315e+00      -1.063476453434e+00      -1.417968586836e+00      -1.063476452473e+00      -1.160391580260e+00       6.455650332211e-01       6.008554409717e-01      -1.100703189709e-04       6.006077051394e-07      -2.287600395965e-09       1.332036885586e-06       1.332038929379e-06       1.332127360792e-06       1.331914265785e-06       1.138678818358e-06       2.566240580247e-06       5.132481271187e-07       1.332071139335e-06 
       2.617529387212e-04      -1.418139919799e+00      -1.063604939975e+00      -1.063604955339e+00      -1.418139895876e+00      -1.063604952926e+00      -1.160531786638e+00       6.455556455722e-01       6.008489204717e-01      -1.101364442946e-04       9.492707046398e-07      -3.611792409090e-09       2.111035509924e-06       2.111040632792e-06       2.111262247106e-06       2.110727384618e-06       1.804600739330e-06       4.067031832634e-06       8.134063943300e-07       2.111121238762e-06 
       3.295274261680e-04      -1.418418056594e+00      -1.063813542761e+00      -1.063813581471e+00      -1.418417996448e+00      -1.063813575391e+00      -1.160759409836e+00       6.455391117878e-01       6.008369256848e-01      -1.102288126299e-04       1.508360275269e-06      -5.744985830590e-09       3.345515161043e-06       3.345528070360e-06       3.346087069585e-06       3.344740442767e-06       2.859892313083e-06       6.445351936317e-06       1.289070457097e-06       3.345731735662e-06 
       4.148504506860e-04      -1.418851861715e+00      -1.064138897076e+00      -1.064138994102e+00      -1.418851710722e+00      -1.064138978861e+00      -1.161114439484e+00       6.455146517998e-01       6.008196254043e-01      -1.103813680869e-04       2.383341610237e-06      -9.067422382649e-09       5.301664034601e-06       5.301696338533e-06       5.303095732081e-06       5.299719950621e-06       4.532111922271e-06       1.021405465598e-05       2.042811106593e-06       5.302205560221e-06 
